"model","additional_parameter_value","dimensionality","method","initial_density","CV"
"drift",0.1,1,"prediction",8515.2,0.29798
"drift",0.1,1,"prediction",8596,0.29798
"drift",0.1,1,"prediction",8676.8,0.29798
"drift",0.1,1,"prediction",8757.6,0.29798
"drift",0.1,1,"prediction",8838.4,0.29798
"drift",0.1,1,"prediction",8919.2,0.29798
"drift",0.1,1,"prediction",9000,0.29798
"drift",0.25,1,"prediction",1000,0.29798
"drift",0.25,1,"prediction",1080.8,0.29798
"drift",0.25,1,"prediction",1161.6,0.29798
"drift",0.25,1,"prediction",1242.4,0.29798
"drift",0.25,1,"prediction",1323.2,0.29798
"drift",0.25,1,"prediction",1404,0.29798
"drift",0.25,1,"prediction",1484.8,0.29798
"drift",0.25,1,"prediction",1565.7,0.29798
"drift",0.25,1,"prediction",1646.5,0.29798
"drift",0.25,1,"prediction",1727.3,0.29798
"drift",0.25,1,"prediction",1808.1,0.29798
"drift",0.25,1,"prediction",1888.9,0.29798
"drift",0.25,1,"prediction",1969.7,0.29798
"drift",0.25,1,"prediction",2050.5,0.29798
"drift",0.25,1,"prediction",2131.3,0.29798
"drift",0.25,1,"prediction",2212.1,0.29798
"drift",0.25,1,"prediction",2292.9,0.29798
"drift",0.25,1,"prediction",2373.7,0.29798
"drift",0.25,1,"prediction",2454.5,0.29798
"drift",0.25,1,"prediction",2535.4,0.29798
"drift",0.25,1,"prediction",2616.2,0.29798
"drift",0.25,1,"prediction",2697,0.29798
"drift",0.25,1,"prediction",2777.8,0.29798
"drift",0.25,1,"prediction",2858.6,0.29798
"drift",0.25,1,"prediction",2939.4,0.29798
"drift",0.25,1,"prediction",3020.2,0.29798
"drift",0.25,1,"prediction",3101,0.29798
"drift",0.25,1,"prediction",3181.8,0.29798
"drift",0.25,1,"prediction",3262.6,0.29798
"drift",0.25,1,"prediction",3343.4,0.29798
"drift",0.25,1,"prediction",3424.2,0.29798
"drift",0.25,1,"prediction",3505.1,0.29798
"drift",0.25,1,"prediction",3585.9,0.29798
"drift",0.25,1,"prediction",3666.7,0.29798
"drift",0.25,1,"prediction",3747.5,0.29798
"drift",0.25,1,"prediction",3828.3,0.29798
"drift",0.25,1,"prediction",3909.1,0.29798
"drift",0.25,1,"prediction",3989.9,0.29798
"drift",0.25,1,"prediction",4070.7,0.29798
"drift",0.25,1,"prediction",4151.5,0.29798
"drift",0.25,1,"prediction",4232.3,0.29798
"drift",0.25,1,"prediction",4313.1,0.29798
"drift",0.25,1,"prediction",4393.9,0.29798
"drift",0.25,1,"prediction",4474.7,0.29798
"drift",0.25,1,"prediction",4555.6,0.29798
"drift",0.25,1,"prediction",4636.4,0.29798
"drift",0.25,1,"prediction",4717.2,0.29798
"drift",0.25,1,"prediction",4798,0.29798
"drift",0.25,1,"prediction",4878.8,0.29798
"drift",0.25,1,"prediction",4959.6,0.29798
"drift",0.25,1,"prediction",5040.4,0.29798
"drift",0.25,1,"prediction",5121.2,0.29798
"drift",0.25,1,"prediction",5202,0.29798
"drift",0.25,1,"prediction",5282.8,0.29798
"drift",0.25,1,"prediction",5363.6,0.29798
"drift",0.25,1,"prediction",5444.4,0.29798
"drift",0.25,1,"prediction",5525.3,0.29798
"drift",0.25,1,"prediction",5606.1,0.29798
"drift",0.25,1,"prediction",5686.9,0.29798
"drift",0.25,1,"prediction",5767.7,0.29798
"drift",0.25,1,"prediction",5848.5,0.29798
"drift",0.25,1,"prediction",5929.3,0.29798
"drift",0.25,1,"prediction",6010.1,0.29798
"drift",0.25,1,"prediction",6090.9,0.29798
